id,imdb_id,original_language,original_title,popularity,vote_average
48750,tt0113828,fr,Les misérables,1.479446,6.6
20927,tt0115644,en,Bed of Roses,10.412194,5.1
36929,tt0115676,en,Big Bully,2.936443,3.9
9102,tt0114367,en,Screamers,12.758848,6.1
124626,tt0113973,en,Nico Icon,0.133893,7.3
27526,tt0112744,en,The Crossing Guard,5.756462,6.1
9623,tt0116731,en,The Juror,6.010579,5.5
46785,tt0112445,fa,بادکنک سفید,1.196256,7.5
400,tt0114660,en,Things to Do in Denver When You're Dead,4.486179,6.7
880,tt0112379,nl,Antonia,2.030174,7.2
146599,tt0114039,en,Once Upon a Time... When We Were Colored,0.252287,4.5
188588,tt0113612,en,Last Summer in the Hamptons,0.531159,0
8447,tt0112365,en,Angels and Insects,2.15166,6.3
10534,tt0118158,en,White Squall,9.568604,6.3
17414,tt0116151,en,Dunston Checks In,4.814825,5.1
13997,tt0115697,en,Black Sheep,8.963037,6
2086,tt0113972,en,Nick of Time,6.848591,6.1
61548,tt0113490,en,The Journey of August King,0.411424,6.7
9095,tt0117002,en,Mary Reilly,12.866139,5.7
12158,tt0114825,en,Vampire in Brooklyn,9.071127,4.5
9283,tt0115639,en,Beautiful Girls,4.670562,6.6
9208,tt0115759,en,Broken Arrow,14.957626,5.7
40154,tt0113403,en,A Midwinter's Tale,0.513391,7.5
406,tt0113247,fr,La Haine,12.108196,7.9
45549,tt0111173,en,Shopping,2.657647,5.6
63076,tt0113283,en,Heidi Fleiss: Hollywood Madam,0.638211,6.8
11062,tt0115907,en,City Hall,4.807223,6
13685,tt0115734,en,Bottle Rocket,6.904831,6.8
47475,tt0117102,en,Mr. Wrong,3.329264,3.3
2045,tt0118040,en,Unforgettable,2.464425,5.3
9614,tt0116483,en,Happy Gilmore,9.592265,6.5
688,tt0112579,en,The Bridges of Madison County,5.951077,7.3
11907,tt0110251,de,Keiner liebt mich,1.015068,5.1
10874,tt0117110,en,Muppet Treasure Island,6.902423,6.5
89333,tt0112646,en,Catwalk,0.976707,7
96357,tt0113276,en,Headless Body in Topless Bar,0.001346,0
197,tt0112573,en,Braveheart,20.755149,7.7
103,tt0075314,en,Taxi Driver,14.092713,8.1
33542,tt0113326,cn,紅番區,12.314278,6.5
43566,tt0115645,en,Before and After,2.938293,5.8
71754,tt0113774,en,Margaret's Museum,0.372697,7.5
43612,tt0112556,en,Le Bonheur est dans le pré,1.254885,7
51352,tt0112373,en,Anne Frank Remembered,0.243986,7.3
16934,tt0115033,en,The Young Poisoner's Handbook,6.178497,6.9
10324,tt0116606,en,If Lucy Fell,2.891918,5.4
78406,tt0114536,en,Steal Big Steal Little,1.522412,5.1
55731,tt0117427,en,Race the Sun,1.317878,5.2
32119,tt0106473,en,The Boys of St. Vincent,0.86539,7
11066,tt0103859,en,Boomerang,6.506983,5.4
11104,tt0109424,cn,重慶森林,6.778979,7.9
37975,tt0114808,it,L'uomo delle stelle,1.702639,6.8
2074,tt0116324,en,Flirting with Disaster,5.579088,6.3
27793,tt0110647,en,The NeverEnding Story III,6.252377,4.4
44284,tt0111055,ar,صمت القصور,0.406754,4.3
290157,tt0110217,en,Jupiter's Wife,0.001178,0
110972,tt0114131,en,Pie in the Sky,0.699066,7
32622,tt0112364,en,Angela,2.197439,5.6
73067,tt0113107,it,Frankie Starlight,0.637554,5.4
11863,tt0113451,en,Jade,11.418917,5.1
55475,tt0114015,es,Nueba Yol,0.291021,5.5
124636,tt0114500,en,Sonic Outlaws,0.001838,0
9101,tt0116130,en,Down Periscope,5.184977,5.6
123360,tt0113125,en,From the Journals of Jean Seberg,0.276401,6.5
5757,tt0113756,en,Man of the Year,0.540436,3.8
39428,tt0113952,en,The Neon Bible,0.370342,7.2
124639,tt0114618,en,Target,0.001205,0
9302,tt0118055,en,Up Close & Personal,3.402749,5.9
11000,tt0115685,en,The Birdcage,6.49968,6.7
249882,tt0113200,en,Gospa,0.918504,7
16388,tt0112585,en,The Brothers McMullen,2.039196,6.3
9737,tt0112442,en,Bad Boys,9.262184,6.5
30765,tt0112342,en,The Amazing Panda Adventure,2.375865,5
10474,tt0112461,en,The Basketball Diaries,7.415144,7.2
22279,tt0112427,en,An Awfully Big Adventure,0.922958,6
30157,tt0109093,en,Amateur,1.759012,6.5
568,tt0112384,en,Apollo 13,18.761467,7.3
11780,tt0114287,en,Rob Roy,10.193549,6.5
34996,tt0112288,en,The Addiction,3.137285,6.4
414,tt0112462,en,Batman Forever,13.321354,5.2
649,tt0061395,fr,Belle de jour,10.142662,7.3
1873,tt0112495,en,Beyond Rangoon,2.04189,6.4
5894,tt0112541,en,Blue in the Face,11.528147,6.8
1775,tt0109370,en,Canadian Bacon,5.391556,5.9
8839,tt0112642,en,Casper,12.812539,6
20649,tt0112688,en,Clockers,4.558992,6.8
10329,tt0112715,en,Congo,7.260574,5
8963,tt0112740,en,Crimson Tide,8.657365,7
26564,tt0109508,en,Crumb,3.620388,7.6
8068,tt0112851,en,Desperado,6.950458,6.8
8512,tt0112857,en,Devil in a Blue Dress,4.646132,6.3
1572,tt0112864,en,Die Hard: With a Vengeance,15.138855,6.9
13552,tt0112887,en,The Doom Generation,7.120806,5.6
259209,tt0113044,en,Feast of July,0.523575,0
6520,tt0113071,en,First Knight,15.178338,5.9
9073,tt0113114,en,Free Willy 2 - The Adventure Home,7.575098,5.5
10428,tt0113243,en,Hackers,14.810519,6.2
17447,tt0113464,en,Jeffrey,3.196456,6.5
9886,tt0113481,en,Johnny Mnemonic,11.715868,5.5
9482,tt0113492,en,Judge Dredd,8.184815,5.4
19326,tt0113500,en,Jury Duty,3.676921,4
9344,tt0113540,en,Kids,4.877872,6.8
9071,tt0113677,en,Living in Oblivion,10.058329,7.2
8973,tt0113690,en,Lord of Illusions,4.102409,5.9
15730,tt0107447,en,Love & Human Remains,0.354014,7
47608,tt0113729,en,Mad Love,2.624771,5.5
2293,tt0113749,en,Mallrats,8.25547,6.8
9070,tt0113820,en,Mighty Morphin Power Rangers: The Movie,7.024227,5.2
68274,tt0113851,en,Moonlight and Valentino,1.01115,5.6
48787,tt0110604,en,Mute Witness,2.466066,6.4
34574,tt0110620,en,Nadja,7.720056,5.9
1642,tt0113957,en,The Net,13.304342,5.6
11472,tt0113986,en,Nine Months,8.482834,5.5
36196,tt0114095,en,Party Girl,1.165039,5.8
11980,tt0114194,en,The Prophecy,10.187623,6.4
58372,tt0114241,en,Reckless,0.119713,10
32646,tt0114323,en,Safe,8.180047,7.2
10533,tt0114345,en,The Scarlet Letter,6.752119,5.5
56088,tt0114435,en,The Show,0.159596,5.3
10802,tt0114436,en,Showgirls,17.502375,4.9
10149,tt0114478,en,Smoke,5.552946,7.2
18402,tt0114496,en,Something to Talk About,3.743212,5.7
9348,tt0114508,en,Species,13.492845,5.5
139408,tt0114534,en,The Stars Fell on Henrietta,0.913522,6.6
281,tt0114558,en,Strange Days,11.223055,6.8
5967,tt0058450,fr,Les parapluies de Cherbourg,8.133881,7.6
79593,tt0114666,en,The Tie That Binds,1.820419,4.6
47939,tt0114663,en,Three Wishes,11.002046,6.1
36834,tt0114702,en,Total Eclipse,4.546552,6.5
9090,tt0114682,en,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,6.3
3512,tt0114781,en,Under Siege 2: Dark Territory,7.490247,5.6
52856,tt0114798,en,Unstrung Heroes,2.881689,6.4
77350,tt0114805,en,Unzipped,0.786023,6
9560,tt0114887,en,A Walk in the Clouds,9.715639,6.5
9804,tt0114898,en,Waterworld,16.885184,5.9
31611,tt0114928,en,White Man's Burden,1.834099,5.1
65796,tt0114938,en,Wild Bill,8.922139,5.9
49805,tt0109340,en,The Browning Version,3.727644,6
26258,tt0112602,en,Bushwhacked,3.287036,4.9
50797,tt0111579,ru,Утомлённые солнцем,2.486073,6.7
19155,tt0110882,en,Before the Rain,3.525649,7.7
76,tt0112471,en,Before Sunrise,11.304979,7.7
11017,tt0112508,en,Billy Madison,6.638116,6.2
37141,tt0112438,en,The Babysitter,2.761837,4.7
9382,tt0112571,en,Boys on the Side,3.030309,6.3
6715,tt0112757,en,The Cure,2.686342,7.2
18256,tt0112643,en,Castle Freak,2.26977,5.8
22625,tt0112679,en,Circle of Friends,2.605521,6.5
2292,tt0109445,en,Clerks,10.513367,7.4
1909,tt0112883,en,Don Juan DeMarco,7.438934,6.3
8984,tt0109635,en,Disclosure,11.812244,5.9
61813,tt0112899,en,Dream Man,0.155859,2.5
4954,tt0109676,en,Drop Zone,9.579155,5.1
62488,tt0112854,it,Destiny Turns on the Radio,0.710671,5.3
10531,tt0109579,en,Death and the Maiden,5.484156,7.1
11929,tt0109642,en,Dolores Claiborne,5.8025,7.1
8467,tt0109686,en,Dumb and Dumber,9.844558,6.5
10451,tt0111797,zh,飲食男女,4.860016,7.5
20156,tt0109759,en,Exotica,5.378467,6.5
18395,tt0109758,en,Exit to Eden,4.322726,4.3
522,tt0109707,en,Ed Wood,11.720358,7.3
397,tt0113117,en,French Kiss,9.146544,6.2
10525,tt0113097,en,Forget Paris,16.236745,6.1
27985,tt0113028,en,Far from Home: The Adventures of Yellow Dog,2.657337,5.6
15789,tt0113198,en,A Goofy Movie,10.177977,6.7
27303,tt0113303,en,Hideaway,8.182165,5
21183,tt0113089,en,Fluke,4.953936,6.6
10954,tt0109771,fr,Farinelli,8.935058,5.9
47867,tt0113199,en,Gordy,0.398924,3
43475,tt0113234,en,Gumby: The Movie,0.090452,5
72031,tt0109906,en,The Glass Shield,1.012197,5.4
14275,tt0110057,en,Hoop Dreams,9.47666,7.7
1024,tt0110005,en,Heavenly Creatures,9.438042,6.9
17207,tt0110066,en,Houseguest,2.688562,6
13701,tt0110116,en,Immortal Beloved,7.983666,6.9
14819,tt0110006,en,Heavyweights,9.546707,6
32631,tt0113360,en,The Hunted,2.756986,6
11777,tt0110099,en,I.Q.,5.146352,5.9
628,tt0110148,en,Interview with the Vampire,11.970205,7.2
87729,tt0113463,en,Jefferson in Paris,1.596058,5.2
18713,tt0110189,en,The Jerky Boys,0.748846,4.8
6280,tt0110216,en,Junior,6.710215,4.7
9061,tt0113501,en,Just Cause,9.195256,6
37108,tt0113538,en,A Kid in King Arthur's Court,5.874511,4.3
6071,tt0113552,en,Kiss of Death,7.797512,5.7
11,tt0076759,en,Star Wars,42.149697,8.1
9587,tt0110367,en,Little Women,9.774994,7
19101,tt0113670,en,A Little Princess,7.731725,7.4
49980,tt0110296,en,Ladybird Ladybird,0.84508,7.4
17961,tt0109731,fr,L'Enfer,1.948315,6.6
18183,tt0103994,es,Como agua para chocolate,4.126083,6.6
4476,tt0110322,en,Legends of the Fall,12.199047,7.2
11008,tt0110443,en,Major Payne,9.253362,6.1
47504,tt0110365,en,Little Odessa,1.861292,6.4
32325,tt0107566,en,Mi Vida Loca,1.788829,5.7
43742,tt0110391,en,Love Affair,3.290192,4.3
28313,tt0113691,en,Losing Isaiah,7.698526,6.4
11318,tt0110428,en,The Madness of King George,4.81307,6.7
3036,tt0109836,en,Frankenstein,14.287753,6.1
40490,tt0113755,en,Man of the House,2.558118,5.1
24070,tt0110538,en,Mixed Nuts,2.899608,5.2
8986,tt0110516,en,Milk Money,3.770115,5.6
10510,tt0110527,en,Miracle on 34th Street,5.831622,6.4
17402,tt0113808,en,Miami Rhapsody,1.137266,5.6
38722,tt0113896,en,My Family,3.121288,7
8438,tt0113870,en,Murder in the First,9.518564,6.9
11593,tt0110684,en,Nobody's Fool,2.891269,7
1945,tt0110638,en,Nell,5.930957,6.1
39310,tt0113967,en,New Jersey Drive,0.629955,6.9
109560,tt0117169,en,New York Cop,0.004537,0
56428,tt0106402,en,Beyond Bedlam,0.426952,4
63105,tt0113948,en,Nemesis 2 - Nebula,1.466491,4.6
131957,tt0110671,en,Nina Takes a Lover,0.769522,7.4
241,tt0110632,en,Natural Born Killers,11.226856,6.9
9058,tt0110737,en,Only You,4.936761,6.4
527,tt0110729,en,Once Were Warriors,4.025276,7.6
18220,tt0114151,en,Poison Ivy II: Lily,6.448039,4.6
6950,tt0114069,en,Outbreak,13.676444,6.4
101,tt0110413,fr,Léon,20.477329,8.2
63020,tt0114113,en,The Perez Family,1.433544,6.6
2307,tt0114210,en,A Pyromaniac's Love Story,0.463307,7
680,tt0110912,en,Pulp Fiction,140.950236,8.3
41478,tt0114084,en,Panther,7.160149,6.4
25296,tt0105652,zh,Pushing Hands,1.638622,6.1
40156,tt0110889,en,Priest,1.881932,6.4
11450,tt0110932,en,Quiz Show,7.772505,7.1
30304,tt0114129,en,Picture Bride,1.296912,7.4
10452,tt0110963,fr,La Reine Margot,4.405405,7
12106,tt0114214,en,The Quick and the Dead,7.54701,6.2
161495,tt0114296,sv,Roommates,3.395867,6.4
3586,tt0110907,en,Prêt-à-Porter,6.259433,5.3
110,tt0111495,fr,Trois couleurs : Rouge,7.832755,7.8
108,tt0108394,fr,Trois couleurs : Bleu,8.843517,7.7
109,tt0111507,fr,Trois couleurs : Blanc,6.5898,7.3
159185,tt0110769,zh,Pao Da Shuang Deng,0.078257,7
36357,tt0114268,en,Rent-a-Kid,1.155255,5.1
92769,tt0110965,en,Relative Fear,0.499601,4.7
28033,tt0114571,en,Stuart Saves His Family,1.390885,5
22586,tt0111333,en,The Swan Princess,8.910462,6.5
14334,tt0111112,en,The Secret of Roan Inish,1.750481,6.1
2636,tt0111255,en,The Specialist,10.388183,5.5
2164,tt0111282,en,Stargate,13.328924,6.8
11395,tt0111070,en,The Santa Clause,9.665424,6.3
278,tt0111161,en,The Shawshank Redemption,51.645403,8.5
9905,tt0111149,en,Shallow Grave,8.223026,7
87078,tt0108260,en,Suture,1.298224,6
12527,tt0106966,es,Fresa y chocolate,1.777197,7.1
20306,tt0114594,en,Swimming with Sharks,5.869261,6.7
36614,tt0111309,en,The Sum of Us,1.407427,6
27993,tt0113936,en,Senior Trip,5.05806,5.7
31439,tt0110081,zh,活着,5.260627,7.7
9067,tt0114614,en,Tank Girl,7.602087,5.5
9059,tt0114608,en,Tales from the Crypt: Demon Knight,9.455342,6.7
193,tt0111280,en,Star Trek: Generations,8.105708,6.4
25066,tt0114609,en,Tales from the Hood,2.86007,5.4
46797,tt0111454,en,Tom & Viv,0.704204,5.8
12122,tt0114852,en,Village of the Damned,6.529879,5.6
11381,tt0114694,en,Tommy Boy,11.971318,6.8
32636,tt0111590,en,Vanya on 42nd Street,7.039846,6.1
36141,tt0114788,en,The Underneath,2.059771,5.6
95963,tt0114888,en,The Walking Dead,0.620873,6.6
1587,tt0108550,en,What's Eating Gilbert Grape,10.3919,7.5
9271,tt0114857,en,Virtuosity,5.188399,5.4
2064,tt0114924,en,While You Were Sleeping,15.783615,6.5
19855,tt0111667,en,The War,3.908596,6.3
60855,tt0109655,en,Double Happiness,0.372239,5.5
236,tt0110598,en,Muriel's Wedding,5.254847,6.9
48287,tt0112435,en,The Baby-Sitters Club,2.15805,5.3
3049,tt0109040,en,Ace Ventura: Pet Detective,11.247957,6.4
2759,tt0109045,en,"The Adventures of Priscilla, Queen of the Desert",8.328596,7.2
12635,tt0106339,en,Backbeat,2.487951,6.2
10497,tt0104779,en,Bitter Moon,11.298195,7
11382,tt0109348,en,Bullets Over Broadway,5.72288,7
9331,tt0109444,en,Clear and Present Danger,7.513245,6.4
10731,tt0109446,en,The Client,15.263829,6.4
10464,tt0109484,en,"Corrina, Corrina",6.924689,6.4
34152,tt0109504,en,Crooklyn,2.533022,6.7
9495,tt0109506,en,The Crow,15.799336,7.3
29973,tt0109450,en,Cobb,2.583363,6.1
888,tt0109813,en,The Flintstones,15.019586,5
13,tt0109830,en,Forrest Gump,48.307194,8.2
712,tt0109831,en,Four Weddings and a Funeral,8.990345,6.6
16295,tt0113305,en,Higher Learning,7.817811,6.4
48992,tt0110091,en,I Like It Like That,0.289295,6.3
10879,tt0110093,en,I Love Trouble,3.570874,5.3
10660,tt0110167,en,It Could Happen to You,11.272073,6.1
10714,tt0110213,en,The Jungle Book,10.714235,5.9
41647,tt0107472,en,Die Macht der Bilder: Leni Riefenstahl,0.568884,7.3
8587,tt0110357,en,The Lion King,21.605761,8
1689,tt0107426,en,Little Buddha,5.681522,6
11596,tt0111686,en,New Nightmare,9.860522,6.4
854,tt0110475,en,The Mask,14.13488,6.6
9359,tt0110478,en,Maverick,15.050326,6.6
23333,tt0110588,en,Mrs. Parker and the Vicious Circle,4.739054,6.3
36593,tt0110622,en,The Naked Gun 33⅓: The Final Insult,10.587232,6.4
12280,tt0110771,en,The Paper,4.006063,6.1
2788,tt0110950,en,Reality Bites,6.514592,6.5
10427,tt0105226,en,Red Rock West,5.137903,6.4
11011,tt0110989,en,Ri¢hie Ri¢h,6.595255,5.4
49803,tt0111054,en,Safe Passage,4.931565,4.9
8987,tt0110997,en,The River Wild,10.511241,6.1
1637,tt0111257,en,Speed,10.859292,6.8
15128,tt0111256,en,Speechless,2.334226,5.5
8831,tt0111438,en,Timecop,8.907074,5.5
36955,tt0111503,en,True Lies,11.396099,6.8
10449,tt0111693,en,When a Man Loves a Woman,4.322544,6
10395,tt0111742,en,Wolf,14.063845,6
12160,tt0111756,en,Wyatt Earp,9.277147,6.5
40480,tt0112443,en,Bad Company,0.912415,4.9
52038,tt0110455,en,A Man of No Importance,0.406113,6.5
29444,tt0111048,en,S.F.W.,2.504529,6.1
26352,tt0110399,en,A Low Down Dirty Shame,3.021526,6
39953,tt0112570,en,"Boys Life: Three Stories of Love, Lust, and Liberation",0.054148,2
41580,tt0109454,fr,Le colonel Chabert,0.934312,5.9
315,tt0059170,en,"Faster, Pussycat! Kill! Kill!",4.220541,6.5
22067,tt0110186,en,Jason's Lyric,0.912909,5.9
18242,tt0108069,en,The Secret Adventures of Tom Thumb,0.381704,7.1
11667,tt0111301,en,Street Fighter,13.58449,4.1
32502,tt0112702,en,Coldblooded,2.342756,6.7
267188,tt0112849,en,Desert Winds,0.251223,0
28732,tt0113014,en,Fall Time,1.108494,6.3
75555,tt0113043,en,The Fear,0.268043,3.4
42981,tt0113104,en,Frank and Ollie,0.142357,7.5
278939,tt0113173,en,Girl in the Cadillac,0.405392,10
291731,tt0113319,en,Homage,0.014925,0
226229,tt0113827,en,Mirage,0.302957,4
203119,tt0114047,en,Open Season,0.012456,0
172923,tt0112889,en,Dos Crímenes,0.233376,5
316098,tt0109339,en,Brother Minister: The Assassination of Malcolm X,0.0368,4
8011,tt0110027,en,Highlander III: The Sorcerer,6.866634,4.5
171857,tt0109785,en,Federal Hill,0.100685,5
2654,tt0113409,en,In the Mouth of Madness,8.497643,7.1
18069,tt0109021,en,8 Seconds,1.888534,7.2
19092,tt0109035,en,Above the Rim,4.38154,6.7
2758,tt0106220,en,Addams Family Values,17.555909,6.5
38129,tt0111804,en,Martin Lawrence: You So Crazy,0.394194,4.5
10436,tt0106226,en,The Age of Innocence,8.013617,7
13595,tt0109068,en,Airheads,7.09232,5.8
46094,tt0109067,en,The Air Up There,1.896273,5.1
9409,tt0106292,en,Another Stakeout,12.967239,4.9
11853,tt0109198,en,Bad Girls,14.644772,4.6
16771,tt0109219,en,Barcelona,1.632711,6.6
46924,tt0106379,en,Being Human,2.783872,5
11041,tt0106400,en,The Beverly Hillbillies,5.673735,5
306,tt0109254,en,Beverly Hills Cop III,11.787784,5.5
14522,tt0109279,en,Black Beauty,8.398845,6.6
26203,tt0109297,en,Blink,3.00282,6.3
178,tt0109303,en,Blown Away,13.155071,6
19819,tt0109305,en,Blue Chips,6.131056,5.7
57834,tt0109306,en,Blue Sky,4.993829,6.1
4722,tt0106452,en,Body Snatchers,6.559693,5.8
18215,tt0106471,en,Boxing Helena,4.304224,4.5
1607,tt0106489,en,A Bronx Tale,6.115628,7.4
26391,tt0109361,en,Cabin Boy,1.679042,4.9
117553,tt0106505,en,Calendar Girl,1.316741,3.7
6075,tt0106519,en,Carlito's Way,8.698509,7.7
11310,tt0109439,en,City Slickers II: The Legend of Curly's Gold,8.605703,4.9
18658,tt0109443,en,Clean Slate,2.724621,5.7
9350,tt0106582,en,Cliffhanger,9.830853,6.1
9612,tt0106598,en,Coneheads,10.722729,4.8
2124,tt0109456,en,Color of Night,14.228963,5.4
26261,tt0109480,en,Cops & Robbersons,7.042878,5
19176,tt0109493,en,The Cowboy Way,4.286279,5.1
49299,tt0106660,en,Dangerous Game,2.70097,5.4
11566,tt0106673,en,Dave,13.696394,6.3
9571,tt0106677,en,Dazed and Confused,6.8652,7.4
9739,tt0106697,en,Demolition Man,11.626116,6.4
24257,tt0109729,en,The Endless Summer 2,0.408159,7.1
34444,tt0106834,en,Even Cowgirls Get the Blues,2.970724,4.2
26141,tt0106873,en,Fatal Instinct,3.555139,5.4
10997,tt0106332,zh,霸王别姬,4.875827,7.8
50463,tt0109783,en,The Favor,1.344876,3.3
10443,tt0106881,en,Fearless,9.284624,6.8
20239,tt0106880,en,Fear of a Black Hat,0.985441,5.8
16297,tt0111732,en,With Honors,2.969003,6.1
18551,tt0106926,en,Flesh and Bone,1.896869,6.2
25440,tt0111712,en,Widows' Peak,0.409427,4.3
9024,tt0106941,en,For Love or Money,8.468869,5.7
37233,tt0106918,en,The Firm,9.678367,6.6
1634,tt0106965,en,Free Willy,5.990572,6
13815,tt0109842,en,Fresh,3.970215,7.6
5503,tt0106977,en,The Fugitive,10.08937,7.2
35588,tt0107004,en,Geronimo: An American Legend,4.653462,5.9
2087,tt0109890,en,The Getaway,14.214403,5.4
41579,tt0109891,en,Getting Even with Dad,2.410545,4.5
18620,tt0109913,en,Go Fish,0.775898,3.9
41006,tt0109920,en,A Good Man in Africa,5.22583,5.2
4916,tt0107057,en,Guilty as Sin,5.385108,5.6
2019,tt0107076,en,Hard Target,7.834351,6.1
31642,tt0107096,en,Heaven & Earth,4.190541,6.4
9255,tt0107144,en,Hot Shots! Part Deux,13.482371,6.2
26271,tt0113674,en,Live Nude Girls,2.138959,4.7
10612,tt0112966,en,The Englishman Who Went Up a Hill But Came Down a Mountain,5.331753,6.1
2259,tt0107151,en,The House of the Spirits,10.687795,6.7
16097,tt0110064,en,House Party 3,0.996047,4.6
11934,tt0110074,en,The Hudsucker Proxy,7.550545,7.1
106143,tt0110097,en,I'll Do Anything,1.742974,5.7
12475,tt0110123,en,In the Army Now,6.071466,4.7
9386,tt0107206,en,In the Line of Fire,12.637158,6.8
7984,tt0107207,en,In the Name of the Father,7.405895,7.6
59930,tt0110137,en,The Inkwell,0.613335,3.9
15765,tt0108551,en,What's Love Got to Do with It,14.820883,6.9
31643,tt0110197,en,Jimmy Hollywood,4.563989,4.6
6,tt0107286,en,Judgment Night,5.538671,6.4
329,tt0107290,en,Jurassic Park,8.863776,7.6
10909,tt0107302,en,Kalifornia,8.4337,6.5
507,tt0110265,en,Killing Zoe,4.948569,6.1
34024,tt0107322,en,King of the Hill,4.375347,6.4
29918,tt0110305,en,Lassie,3.645342,6.1
9593,tt0107362,en,Last Action Hero,9.434006,6.1
42580,tt0107413,en,Life With Mikey,6.446229,5.1
22317,tt0110353,en,Lightning Jack,2.913584,5.7
1413,tt0107468,en,M. Butterfly,6.516976,6.6
12121,tt0107478,en,Made in America,5.43085,5.3
2246,tt0107497,en,Malice,9.861672,5.9
10502,tt0107501,en,The Man without a Face,5.997712,6.2
10440,tt0107507,en,Manhattan Murder Mystery,8.939404,7.1
9516,tt0107554,en,Menace II Society,5.260924,7.2
2320,tt0116253,en,Executive Decision,13.106291,5.8
5879,tt0074102,ja,愛のコリーダ,8.932494,6.5
83718,tt0111689,en,What Happened Was...,0.534606,7
11971,tt0107616,en,Much Ado About Nothing,8.62724,7.2
2625,tt0107611,en,Mr. Jones,6.579753,5.9
31911,tt0107613,en,Mr. Wonderful,13.011091,5.5
